number,match_id,match_date,stage_label,home_team_name,away_team_name,match,predicted_score,predicted_sign,predicted_result,probability_home,probability_draw,probability_away,actual_score_90,actual_sign,actual_result_90,sign_correct,exact_score,after_90_note,evaluation
43,WC-2026-057,2026-06-22,Grupos,Argentina,Austria,Argentina — Austria,0–0,X,Empate,0.3471852783736645,0.3741361718194702,0.2786785498068653,2–0,1,Gana Argentina,False,False,,Signo fallado
44,WC-2026-058,2026-06-22,Grupos,Algeria,Jordan,Algeria — Jordan,0–0,1,Gana Algeria,0.3760376566025117,0.3249500405925377,0.2990123028049508,2–1,1,Gana Algeria,True,False,,Signo acertado
45,WC-2026-063,2026-06-23,Grupos,Portugal,Uzbekistan,Portugal — Uzbekistan,1–0,1,Gana Portugal,0.5522298937364825,0.2839154245020515,0.1638546817614659,5–0,1,Gana Portugal,True,False,,Signo acertado
46,WC-2026-064,2026-06-23,Grupos,DR Congo,Colombia,DR Congo — Colombia,0–1,2,Gana Colombia,0.1023290999183689,0.2577926110138611,0.6398782890677701,0–1,2,Gana Colombia,True,True,,Signo y marcador exacto
47,WC-2026-069,2026-06-23,Grupos,England,Ghana,England — Ghana,0–0,X,Empate,0.3760403570998328,0.3954101129504127,0.2285495299497546,0–0,X,Empate,True,True,,Signo y marcador exacto
48,WC-2026-070,2026-06-23,Grupos,Croatia,Panama,Croatia — Panama,1–0,1,Gana Croatia,0.5294279778758909,0.2967720185427555,0.1738000035813535,1–0,1,Gana Croatia,True,True,,Signo y marcador exacto
49,WC-2026-005,2026-06-24,Grupos,Mexico,Czech Republic,Mexico — Czech Republic,0–0,X,Empate,0.3626155011347601,0.3800246789958469,0.2573598198693929,3–0,1,Gana Mexico,False,False,,Signo fallado
50,WC-2026-006,2026-06-24,Grupos,South Korea,South Africa,South Korea — South Africa,0–0,2,Gana South Africa,0.2332047334664836,0.3679389500456018,0.3988563164879147,0–1,2,Gana South Africa,True,False,,Signo acertado
51,WC-2026-011,2026-06-24,Grupos,Canada,Switzerland,Canada — Switzerland,0–1,2,Gana Switzerland,0.1721156390333427,0.3408456171246832,0.487038743841974,1–2,2,Gana Switzerland,True,False,,Signo acertado
52,WC-2026-012,2026-06-24,Grupos,Bosnia & Herzegovina,Qatar,Bosnia & Herzegovina — Qatar,1–0,1,Gana Bosnia & Herzegovina,0.4235839973768964,0.3334518448867339,0.2429641577363696,3–1,1,Gana Bosnia & Herzegovina,True,False,,Signo acertado
53,WC-2026-017,2026-06-24,Grupos,Brazil,Scotland,Brazil — Scotland,0–0,1,Gana Brazil,0.4726379154570638,0.3546818880506014,0.1726801964923346,3–0,1,Gana Brazil,True,False,,Signo acertado
54,WC-2026-018,2026-06-24,Grupos,Haiti,Morocco,Haiti — Morocco,0–1,2,Gana Morocco,0.1148327301160702,0.2891094188779664,0.5960578510059635,2–4,2,Gana Morocco,True,False,,Signo acertado
55,WC-2026-023,2026-06-25,Grupos,United States,Turkey,United States — Turkey,0–0,X,Empate,0.3054976458958526,0.391011261891607,0.3034910922125403,2–3,2,Gana Turkey,False,False,,Signo fallado
56,WC-2026-024,2026-06-25,Grupos,Australia,Paraguay,Australia — Paraguay,0–0,2,Gana Paraguay,0.2077686705427433,0.3605696497442717,0.431661679712985,0–0,X,Empate,False,True,,Marcador exacto; signo fallado
57,WC-2026-029,2026-06-25,Grupos,Ivory Coast,Curaçao,Ivory Coast — Curaçao,0–0,1,Gana Ivory Coast,0.3522783970066906,0.3360563642027062,0.311665238790603,2–0,1,Gana Ivory Coast,True,False,,Signo acertado
58,WC-2026-030,2026-06-25,Grupos,Germany,Ecuador,Germany — Ecuador,0–0,1,Gana Germany,0.4510403812662575,0.3778492977351828,0.1711103209985596,1–2,2,Gana Ecuador,False,False,,Signo fallado
59,WC-2026-035,2026-06-25,Grupos,Japan,Sweden,Japan — Sweden,0–1,2,Gana Sweden,0.129130869290544,0.2971360064715904,0.5737331242378655,1–1,X,Empate,False,False,,Signo fallado
